Data;hora;preciptacao;temperatura;humidade
06/01/2023;0500 UTC;0;20,7;93
06/01/2023;0600 UTC;0;20,5;93
06/01/2023;0700 UTC;0;20,5;93
06/01/2023;0800 UTC;0;20,7;93
06/01/2023;0900 UTC;1,6;20,8;93
06/01/2023;1000 UTC;4,8;20,6;93
06/01/2023;1100 UTC;8,8;20,2;93
06/01/2023;1200 UTC;2,4;21,1;92
06/01/2023;1300 UTC;0,6;21,8;89
06/01/2023;1400 UTC;0;22,9;84
06/01/2023;1500 UTC;0;24,4;74
06/01/2023;1600 UTC;0;24,8;70
06/01/2023;1700 UTC;0,2;24;71
06/01/2023;1800 UTC;0;24,8;72
06/01/2023;1900 UTC;0;24;71
06/01/2023;2000 UTC;0;24,1;70
06/01/2023;2100 UTC;0;22,4;80
06/01/2023;2200 UTC;0;22;81
06/01/2023;2300 UTC;0;21,9;79
07/01/2023;0000 UTC;0;21,4;83
07/01/2023;0100 UTC;0;21,4;80
07/01/2023;0200 UTC;0;20,7;85
07/01/2023;0300 UTC;0;20,6;87
07/01/2023;0400 UTC;0;20,7;88
07/01/2023;0500 UTC;0;20,9;86
07/01/2023;0600 UTC;0;20,9;85
07/01/2023;0700 UTC;0;20,7;85
07/01/2023;0800 UTC;0,2;20,3;88
07/01/2023;0900 UTC;0,2;20;91
07/01/2023;1000 UTC;0,2;20,6;91
07/01/2023;1100 UTC;0;21,5;86
07/01/2023;1200 UTC;0;23,1;74
07/01/2023;1300 UTC;0;24,1;72
07/01/2023;1400 UTC;0;24,6;69
07/01/2023;1500 UTC;0,2;25,7;67
07/01/2023;1600 UTC;0;25,9;63
07/01/2023;1700 UTC;0;25,1;76
07/01/2023;1800 UTC;0,2;28,5;54
07/01/2023;1900 UTC;0;29;52
07/01/2023;2000 UTC;0;25,8;64
07/01/2023;2100 UTC;0;24,7;67
07/01/2023;2200 UTC;0;23,9;68
07/01/2023;2300 UTC;0;23,4;72
08/01/2023;0000 UTC;0;23,1;76
08/01/2023;0100 UTC;0;23,2;76
08/01/2023;0200 UTC;0;22,6;77
08/01/2023;0300 UTC;0,2;21,3;89
08/01/2023;0400 UTC;0;20,9;91
08/01/2023;0500 UTC;0;20,5;92
08/01/2023;0600 UTC;0;20,8;92
08/01/2023;0700 UTC;0;20,8;92
08/01/2023;0800 UTC;0,2;20,5;91
08/01/2023;0900 UTC;0;20,6;90
08/01/2023;1000 UTC;0;21,4;89
08/01/2023;1100 UTC;0;23,3;79
08/01/2023;1200 UTC;0;23,8;73
08/01/2023;1300 UTC;0;24,4;75
08/01/2023;1400 UTC;0;25,4;66
08/01/2023;1500 UTC;0;25,5;65
08/01/2023;1600 UTC;0;26,9;62
08/01/2023;1700 UTC;0;27,1;58
08/01/2023;1800 UTC;0;25,1;73
08/01/2023;1900 UTC;0;24,1;71
08/01/2023;2000 UTC;0;23,1;79
08/01/2023;2100 UTC;0,4;22,7;87
08/01/2023;2200 UTC;0,4;22;89
08/01/2023;2300 UTC;0,2;21,9;90
09/01/2023;0000 UTC;0;21,8;90
09/01/2023;0100 UTC;0;21,7;89
09/01/2023;0200 UTC;0,2;21,5;91
09/01/2023;0300 UTC;0;21,3;91
09/01/2023;0400 UTC;0;20,8;92
09/01/2023;0500 UTC;0;20,9;92
09/01/2023;0600 UTC;0;20,7;92
09/01/2023;0700 UTC;0;20,3;92
09/01/2023;0800 UTC;0;20;93
09/01/2023;0900 UTC;0;20,1;93
09/01/2023;1000 UTC;0;20,6;93
09/01/2023;1100 UTC;0;24,1;76
09/01/2023;1200 UTC;0;25,4;68
09/01/2023;1300 UTC;0,2;26,6;67
09/01/2023;1400 UTC;0;28,4;58
09/01/2023;1500 UTC;0,2;28,2;60
09/01/2023;1600 UTC;0,2;30,1;51
09/01/2023;1700 UTC;2;20,6;89
09/01/2023;1800 UTC;0,8;20,3;88
09/01/2023;1900 UTC;0,2;20,8;88
09/01/2023;2000 UTC;0;21,3;86
09/01/2023;2100 UTC;0;21,4;83
09/01/2023;2200 UTC;0;21;85
09/01/2023;2300 UTC;0;20,4;89
10/01/2023;0000 UTC;0;20,3;90
10/01/2023;0100 UTC;0;19,9;91
10/01/2023;0200 UTC;0;19,3;92
10/01/2023;0300 UTC;0;19,2;92
10/01/2023;0400 UTC;0;18,9;93
10/01/2023;0500 UTC;0;18,9;93
10/01/2023;0600 UTC;0;19;93
10/01/2023;0700 UTC;0;18,6;93
10/01/2023;0800 UTC;0;18,6;93
10/01/2023;0900 UTC;0;18,8;93
10/01/2023;1000 UTC;0;19,8;93
10/01/2023;1100 UTC;0;23,4;78
10/01/2023;1200 UTC;0,2;24,6;68
10/01/2023;1300 UTC;0;26,6;64
10/01/2023;1400 UTC;0;28,6;56
10/01/2023;1500 UTC;0;29,7;50
10/01/2023;1600 UTC;0;27,4;61
10/01/2023;1700 UTC;0;26,4;57
10/01/2023;1800 UTC;0;24,6;73
10/01/2023;1900 UTC;0;26,5;65
10/01/2023;2000 UTC;0;26,1;63
10/01/2023;2100 UTC;0;25,6;68
10/01/2023;2200 UTC;0;24,2;72
10/01/2023;2300 UTC;12,8;20,9;91
11/01/2023;0000 UTC;0;20,5;91
11/01/2023;0100 UTC;0,2;20,2;91
11/01/2023;0200 UTC;0;20,3;92
11/01/2023;0300 UTC;0;20,3;92
11/01/2023;0400 UTC;0;20,2;93
11/01/2023;0500 UTC;0;20,3;93
11/01/2023;0600 UTC;0;20,3;93
11/01/2023;0700 UTC;0;19,9;93
11/01/2023;0800 UTC;0;19,7;93
11/01/2023;0900 UTC;0;19,7;93
11/01/2023;1000 UTC;0;20,6;93
11/01/2023;1100 UTC;0;22,3;86
11/01/2023;1200 UTC;0;25;70
11/01/2023;1300 UTC;0;27,4;59
11/01/2023;1400 UTC;0,2;28,3;59
11/01/2023;1500 UTC;0;30,3;46
11/01/2023;1600 UTC;0;30,7;47
11/01/2023;1700 UTC;0;29,3;43
11/01/2023;1800 UTC;0;27,4;55
11/01/2023;1900 UTC;0;27,4;57
11/01/2023;2000 UTC;0;24,7;67
11/01/2023;2100 UTC;0;26;59
11/01/2023;2200 UTC;0;24,1;69
11/01/2023;2300 UTC;0;23,1;75
